Family,low_iron,low_zinc,mid_zinc,high_FA,high_carbs,high_prot,Phylum,Class,Order
Oscillospiraceae,-0.5148329521680375,2.481552408718456,-0.5449883565912537,-0.01427551008638378,0.9689752088765107,-0.1774654560203005,Firmicutes,Clostridia,Eubacteriales
Brevibacteriaceae,1.2996899299942988,2.8433935087747466,1.000942842522339,-0.0020423279494217184,0.010178161993535828,-0.01082526542291773,Actinobacteria,Actinomycetia,Micrococcales
Corynebacteriaceae,0.46853664987982724,2.870957077996752,-0.1287410910670692,-0.004398190516292588,0.0419596007393675,-0.02843993371803344,Actinobacteria,Actinomycetia,Corynebacteriales
Flavobacteriaceae,0.4375053591805461,2.9263932415109206,0.4701128542908182,-0.0007689801888998149,-0.09498908829731123,-0.010348434442687293,Bacteroidetes,Flavobacteriia,Flavobacteriales
Helicobacteraceae,-0.09069973330321168,2.88765616253917,0.3883025395336133,-0.0010263187055185585,-0.12737180972297113,0.28391027555854553,Proteobacteria,Epsilonproteobacteria,Campylobacterales
Pasteurellaceae,-0.1674011707793075,2.8366791777721136,0.7449253300966905,-0.0012139222689608875,-0.034072448184461646,-0.00016917541268873793,Proteobacteria,Gammaproteobacteria,Pasteurellales
Bartonellaceae,-0.11438514355117108,2.8624883726507884,0.4904547123553636,-0.0005629607166719452,-0.04839873401244826,-0.0038795419549795263,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales
Pseudomonadaceae,-0.1132373486339277,2.8612337841747135,0.48706720529434966,0.004192885562200266,-0.04487595417871432,-0.02040121214401419,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Eubacteriales Family XIII. Incertae Sedis,-0.08120170249888059,-0.1499102358543562,-0.1499102358543562,6.643693614094559e-05,-0.0942681071324239,2.773878944387425,Firmicutes,Clostridia,Eubacteriales
Arcobacteraceae,-0.17114265835401174,-0.36231386988899705,-0.36231386988899705,-0.0017831727925546048,-0.22783396015360605,2.642964574664907,Proteobacteria,Epsilonproteobacteria,Campylobacterales
Morganellaceae,0.021791102974477727,-2.7654726232898112,-0.1611008997166034,-0.013610617617028087,-1.3707494288354378,0.05855763990786367,Proteobacteria,Gammaproteobacteria,Enterobacterales
Atopobiaceae,1.369970222507902,-2.0016553740185623,-0.9299179181595136,-0.009851395984685984,-1.1648249434007623,-0.047927595076388,Actinobacteria,Coriobacteriia,Coriobacteriales
Propionibacteriaceae,1.3481846663073953,-2.0123788699194054,0.9236845622294351,-0.009904173004062343,-0.5197414164376343,-0.20329606685524465,Actinobacteria,Actinomycetia,Propionibacteriales
Prevotellaceae,1.1466841321357222,-2.395397634508409,-0.010288164262395844,-0.011789247512146273,-0.4497513428233818,0.24023050639574353,Bacteroidetes,Bacteroidia,Bacteroidales
Oxalobacteraceae,1.059446622010289,-1.0022430528288155,-1.0022430528288155,-0.004932663891334649,-0.432206506150294,1.9299288198253253,Proteobacteria,Betaproteobacteria,Burkholderiales
Neisseriaceae,1.435071875953373,-1.3652791313495025,-1.3652791313495025,-0.0067193911235329164,0.22100447914966956,1.0787526242850254,Proteobacteria,Betaproteobacteria,Neisseriales
Porphyromonadaceae,1.5794588301409271,-1.40039474549946,-1.40039474549946,0.0636931596419244,-0.7647535692328224,0.5232915188321485,Bacteroidetes,Bacteroidia,Bacteroidales
Desulfovibrionaceae,1.8743744593357496,-1.2053140967003628,-1.2053140967003628,-0.005932103301419453,-0.5809383546303314,0.5404875135843714,Proteobacteria,Deltaproteobacteria,Desulfovibrionales
Nocardiaceae,2.4763426292921817,-0.6919551910210958,-0.6919551910210958,-0.0034055435710307336,-0.12521514423407365,-0.07908134328687433,Actinobacteria,Actinomycetia,Corynebacteriales
Gordoniaceae,2.1696889880074153,-1.013208842669813,-1.013208842669813,0.042095549747130354,0.5577796402964296,-0.022735604466339446,Actinobacteria,Actinomycetia,Corynebacteriales
Fusobacteriaceae,2.2138621420341837,-0.9393009736990786,-0.9393009736990786,-0.004622886617157054,-0.33826773701728563,0.5051265471500029,Fusobacteria,Fusobacteriia,Fusobacteriales
Actinomycetaceae,1.9184277832639305,-1.3881640991290518,-1.1673883489431918,-0.006832022339984846,0.15778326905813192,0.14628917619947412,Actinobacteria,Actinomycetia,Actinomycetales
Rikenellaceae,2.073467239955495,-1.1475571293756457,-1.1475571293756457,-0.0056478452001618995,-0.1540647606838848,0.21691927688499188,Bacteroidetes,Bacteroidia,Bacteroidales
Dermabacteraceae,2.6626015593768755,-0.7440044608943239,0.4153822488140452,-0.0036617105290847607,0.4142937254813206,-0.10204068196318222,Actinobacteria,Actinomycetia,Micrococcales
Hafniaceae,2.1666329136601417,-1.434334663422989,0.07691564121471728,0.007853785130935709,-0.5080682228148945,0.06632232178397432,Proteobacteria,Gammaproteobacteria,Enterobacterales
Moraxellaceae,2.4583249390015687,-0.9724734585612125,-0.012690249899095951,0.06015771086598763,-0.43264821480119675,0.023666890860891243,Proteobacteria,Gammaproteobacteria,Moraxellales
Bacteroidaceae,0.8913680950050201,-0.21448702013181828,-2.431579314438518,-0.014938533983718472,0.6378486796136262,0.0607272429700679,Bacteroidetes,Bacteroidia,Bacteroidales
Enterococcaceae,0.7903110386205524,-2.5380988816542476,-0.9640823036233878,-0.01244938239235821,0.18455272017464797,-0.1945162947770553,Firmicutes,Bacilli,Lactobacillales
Micrococcaceae,0.38710181265435917,-1.9627587080623843,-1.9627587080623843,-0.009659961203358602,0.6481913078678229,-0.09896885441912684,Actinobacteria,Actinomycetia,Micrococcales
Bifidobacteriaceae,1.083709216159144,-1.5352338353983392,-1.5352338353983392,-0.007038751793012013,0.8088239276403153,0.700677424978608,Actinobacteria,Actinomycetia,Bifidobacteriales
Erysipelotrichaceae,0.7805726984463999,-1.8041221008798254,-1.7437472918272585,-0.00887921140231504,0.6113741246004663,0.4047924343934188,Firmicutes,Erysipelotrichia,Erysipelotrichales
Comamonadaceae,-0.6224838711003018,-1.4131282778792744,2.0795161147595884,0.140045099355887,-0.45686610685484624,0.25084921632761825,Proteobacteria,Betaproteobacteria,Burkholderiales
Peptoniphilaceae,-0.9391428936966538,-1.931790396588404,1.1718893340567451,-0.00706010592608472,-0.16938844750884033,1.0409703162827146,Firmicutes,Tissierellia,Tissierellales
Odoribacteraceae,-0.4522094684309955,-2.094679689554412,1.3127319918983922,0.022855060438463276,-0.9508399184938531,0.4472709022410215,Bacteroidetes,Bacteroidia,Bacteroidales
Coriobacteriaceae,-0.7471623502517089,-2.4362249541143086,1.0266363332196593,-0.011990184245637636,-0.13395722668923504,0.22552774909040407,Actinobacteria,Coriobacteriia,Coriobacteriales
Streptococcaceae,-0.3337733564943773,-2.530607014997986,0.9481611480978165,-0.012454697302023365,-0.5081890178411853,0.2019182441472303,Firmicutes,Bacilli,Lactobacillales
Listeriaceae,-1.3669594613484757,-1.5306856138251663,1.68276412750668,-0.007533459708191831,0.30690437074682286,-0.20295088071410888,Firmicutes,Bacilli,Bacillales
Selenomonadaceae,-0.8697346444038985,-2.193376661991213,1.3817208873292215,-0.010794976158889913,-0.06274076901515085,-0.4879549099582737,Firmicutes,Negativicutes,Selenomonadales
unclassified Candidatus Melainabacteria,-1.3551536719440112,-2.5644108412370112,0.6720540917292886,-0.012621067038992795,-0.18869830466355725,-0.8847401914903991,Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria
Bacillaceae,-1.761883099052611,-2.0855087039782854,0.9543684830219747,0.03672478624269343,-0.05017795107224582,-0.2692812426741735,Firmicutes,Bacilli,Bacillales
Paenibacillaceae,-1.5082910886537981,-2.143478503719594,0.8173810066809759,-0.009104244591872424,0.5577326297422318,-0.22045756033012556,Firmicutes,Bacilli,Bacillales
Mycobacteriaceae,-2.0315916945232653,-2.129342990504856,0.24667711126462477,-0.010479826477105103,-0.2108654451163537,0.43512274795302086,Actinobacteria,Actinomycetia,Corynebacteriales
Aeromonadaceae,-2.006951659503318,-2.1032805119044493,0.8264954730682933,-0.010351556745777812,-0.8354300650645466,-0.5837296792487826,Proteobacteria,Gammaproteobacteria,Aeromonadales
Enterobacteriaceae,-0.2278956157523837,-0.7096956822230072,2.3818094131384577,0.0016591747467388507,0.6524965325262109,-0.7725017170698016,Proteobacteria,Gammaproteobacteria,Enterobacterales
Yersiniaceae,1.406438749199101,-1.107248355144094,2.0577592039684287,-0.00544946055225165,-0.18613720870189154,-0.23888845831084904,Proteobacteria,Gammaproteobacteria,Enterobacterales
Microbacteriaceae,-1.3521073413084932,-1.4169775899915795,-1.4169775899915795,-0.006973831520462326,1.4919963083870138,-0.03747379154794528,Actinobacteria,Actinomycetia,Micrococcales
Eubacteriaceae,-1.261218010870241,-1.865244798306948,-1.5596697375209079,-0.013596706251141899,0.9138800487424015,0.47636786550432714,Firmicutes,Clostridia,Eubacteriales
Acidaminococcaceae,-1.0766483075256692,-1.9490869415856127,-1.9490869415856127,-0.009592673903496052,0.09933189108072271,0.7916579820716421,Firmicutes,Negativicutes,Acidaminococcales
Synergistaceae,-0.9748662321042021,-1.9816334858750504,-1.9816334858750504,-0.009752855770909452,0.21564568900978576,0.6929316929418121,Synergistetes,Synergistia,Synergistales
Bacillales Incertae Sedis XI,-1.0309865004369707,-2.1685664908701234,-2.1685664908701234,-0.01067286981464377,-0.10013061365548293,0.42055372954436754,Firmicutes,Bacilli,Bacillales
Veillonellaceae,-1.2661566161114652,-2.170849654820291,-2.093888163394994,-0.01068410669011377,0.05035140379168923,0.32709619210437024,Firmicutes,Negativicutes,Veillonellales
Aerococcaceae,-1.0600901153352358,-2.213225792649284,-2.213225792649284,-0.010892666125206119,0.12504083975273506,0.11447528278262986,Firmicutes,Bacilli,Lactobacillales
Bradyrhizobiaceae,-1.0037518833595955,-2.106278670602974,-2.106278670602974,-0.010366312556866708,0.426062953409739,0.15322882040089492,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales
unclassified Clostridiales,-1.055078145489568,-2.4366289095479194,-2.4366289095479194,-0.011992172362567999,-0.35479795749417,-0.2921509119349659,Firmicutes,Clostridia,Eubacteriales
Akkermansiaceae,-0.49624001264648837,-2.3294447007410026,-2.3294447007410026,-0.011464651942235782,-0.20416305185539874,-0.013112979497569621,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales
Kytococcaceae,-1.0262789371216585,-2.089374645640116,-2.089374645640116,-0.01028311729468212,0.7146118264293493,-0.44260887577397046,Actinobacteria,Actinomycetia,Micrococcales
Coprobacillaceae,-0.373917703375529,-2.4277234655037323,-1.8337057969216446,-0.011948343111620185,0.26811869423766554,0.1917521765653737,Firmicutes,Erysipelotrichia,Erysipelotrichales
Tannerellaceae,-0.7749505497574427,-2.5360435760507456,-1.4723356550755602,-0.012481454013703597,0.6435030426299359,-0.14180193380289202,Bacteroidetes,Bacteroidia,Bacteroidales
Lachnospiraceae,-0.4681386810871792,-2.664796541986879,-1.310181544748978,-0.010958302941123432,0.5578250834157508,-0.18861871220799387,Firmicutes,Clostridia,Eubacteriales
Sterolibacteriaceae,-1.4297359082592402,-1.4983031275916256,-1.4983031275916256,0.6561239976239669,0.21004232740209816,0.9733338281685368,Proteobacteria,Betaproteobacteria,Nitrosomonadales
Caulobacteraceae,-1.311474533990269,-1.3743701789142544,-1.3743701789142544,0.48332783908353827,-0.8642456902767441,1.3678508283310327,Proteobacteria,Alphaproteobacteria,Caulobacterales
Eggerthellaceae,-0.7898014796860879,-1.6921095532921373,-1.6921095532921373,-0.008327927711894278,-1.0640498545043546,1.3139959556302272,Actinobacteria,Coriobacteriia,Eggerthellales
Chromobacteriaceae,-1.6005211893115123,-1.677401738979369,-1.677401738979369,-0.008255541373693775,-0.4926155797314288,1.1199785323662426,Proteobacteria,Betaproteobacteria,Neisseriales
Campylobacteraceae,-1.3258146080361946,-1.873891457210688,-1.873891457210688,-0.009171792263564127,-1.0299904184019573,0.9687370098286169,Proteobacteria,Epsilonproteobacteria,Campylobacterales
Tropherymataceae,-0.699856038742223,-2.5626557954937237,-2.5626557954937237,-0.012612429362990563,-1.5039685241410123,-0.8867767813738401,Actinobacteria,Actinomycetia,Micrococcales
Mycoplasmataceae,-1.3965793814688328,-2.598416075479344,-2.598416075479344,-0.012788428030510612,-1.633962908415913,-0.8991512040498929,Tenericutes,Mollicutes,Mycoplasmatales
Burkholderiaceae,-0.09659167118537937,-2.065601782392498,-2.065601782392498,0.31082709858175683,-1.1352159956950374,0.4017603520946207,Proteobacteria,Betaproteobacteria,Burkholderiales
Sutterellaceae,-1.2732990385998124,-2.3989680125212467,-2.3989680125212467,-0.01180681957179086,-1.5085439117801207,-0.08296921638388799,Proteobacteria,Betaproteobacteria,Burkholderiales
Leptotrichiaceae,-1.1266718664291175,-2.6284232671428303,-1.7736808803802178,-0.012936112158009272,-1.0686198683673882,0.354118610057112,Fusobacteria,Fusobacteriia,Fusobacteriales
Peptostreptococcaceae,-1.55900727340579,-2.257271824458124,-2.257271824458124,-0.010704183688804325,-0.9317232802253782,0.2450602363807759,Firmicutes,Clostridia,Eubacteriales
Alcaligenaceae,-1.006644992917978,-2.2127192530605764,-2.2127192530605764,-0.010849678478010438,-1.017583108758159,0.4941487014230962,Proteobacteria,Betaproteobacteria,Burkholderiales
Brachyspiraceae,-1.0543756478330824,-2.185354318935723,-2.185354318935723,-0.01075549319934066,-1.2546572434177343,0.49532396536740975,Spirochaetes,Spirochaetia,Brachyspirales
Vibrionaceae,-2.475874359912737,-2.594752751571111,-0.6704079300448385,-0.012770398526076754,-1.5640438596772448,-0.7787522732917627,Proteobacteria,Gammaproteobacteria,Vibrionales
Xanthomonadaceae,-2.470994394952116,-2.589545648981942,-1.7986918619333427,-0.012744771122776166,-1.54018575046125,-0.7406840619830675,Proteobacteria,Gammaproteobacteria,Xanthomonadales
Clostridiaceae,-1.9992143574623984,-2.4887622919820824,-1.1227233340286198,-0.009811817084386498,-0.6139079247903072,0.34825413086266255,Firmicutes,Clostridia,Eubacteriales
Methylobacteriaceae,-1.2266816198964483,-3.0653616707702653,-0.5717401828828488,0.10734004581746515,-0.5471247189192339,-0.4669550927620383,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales
Staphylococcaceae,-2.111552646165723,-2.3374509462843296,-0.4917074660644244,-0.011499504248779657,0.3460892587842991,-0.2254249345916361,Firmicutes,Bacilli,Bacillales
Lactobacillaceae,-1.5685705682620577,-2.8059271047341894,-0.9197046045210503,-0.013809719381116525,0.16536743839364232,-0.37313902498913665,Firmicutes,Bacilli,Lactobacillales
Methanobacteriaceae,-1.16396589791797,-2.266585139369096,-2.266585139369096,0.015957324572965614,-2.266585139369096,-2.266585139369096,Euryarchaeota,Methanobacteria,Methanobacteriales
Brucellaceae,-2.8102135228761043,-2.8102135228761043,-2.8102135228761043,-2.064693523747366,-1.7671475728771795,-0.9724412100803396,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales
